"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
262,260,0.200736070314978,-0.880762291223351,0.1,-0.4,0.1,1,0.200736070314978,-0.880762291223351,0.1,-0.4,0.1,1,0,0.979523386346385,0.78625,0.00223927927242881,0.0718325880249078,-0.0181365940267123,0.461059048029557,0.00625,0.195278274535679,0.26875,0.351500894164222
511,503,0.254261718125665,0.170284374079062,0.1,0.1,0.1,0.1,0.261002884281854,0.180596924555438,0.100081160592548,0.099930622055313,0.0999975,0.0999975,0,0.979550180920311,0.785,0.00283889913417503,0.0728037381649468,-0.0177095212142792,0.461165553605478,0.00625180173440318,0.195270585363649,0.26874328125,0.351492106641868
361,399,0.209176762376151,0.289672716158573,0.0998668617324964,0.100044088900556,0.0999975,0.0999975,0.204230292214241,0.280217527150862,0.100080867674428,0.100169803463253,0.0999950000625,0.0999950000625,0,0.979794365131443,0.78125,0.00304355836626354,0.073615654555197,-0.0173889024465329,0.460256112964315,0.00625106362614956,0.195277440745234,0.268736562667969,0.351483319339202
385,390,-0.907566967682498,0.112756559801717,-0.400093363434886,0.100038231542241,0.999950000625,0.0999950000625,-0.904300967176193,0.117072356138988,-0.400204874910944,0.099983059452412,0.999925001874984,0.0999925001874984,0,0.97977025141786,0.785,0.00338531656831841,0.0729212578568741,-0.0171431205273272,0.460156665124808,0.00624670466939741,0.195277736271769,0.268729844253902,0.351474532256219
422,409,-0.887437305891088,0.0990584219592292,-0.400113244018557,0.0998613092201496,0.999925001874984,0.0999925001874984,-0.89038350054339,0.0843319016793643,-0.40005896860422,0.0999355030801324,0.999900003749937,0.0999900003749938,0,0.979605569497264,0.7825,0.00427280817655821,0.0727889457852361,-0.0167938764905977,0.460518090210371,0.00623883046811506,0.195276579060451,0.268723126007796,0.351465745392912
132,157,-0.969981595845304,0.185825975707517,-0.399976705031939,0.100311007108862,0.999900003749937,0.0999900003749938,-0.942270162674782,0.185464393658987,-0.399886312047337,0.100217523416088,0.999875006249844,0.0999875006249844,0,0.979555008445453,0.7825,0.00527447104492731,0.0722939064386051,-0.0169869540138079,0.46048372171364,0.00623750938497622,0.195279948562969,0.268716407929646,0.351456958749277
417,407,0.216127068596074,0.123181671238205,0.100036091361124,0.09976706808693,0.0999875006249844,0.0999875006249844,0.214518401479724,0.115632785926613,0.100053997244802,0.0997530988008512,0.0999850009374687,0.0999850009374687,0,0.979651370326635,0.78,0.00366700281750776,0.0720031635281356,-0.017188954930721,0.460576236105507,0.00624298103070149,0.195274522315884,0.268709690019447,0.351448172325309
139,151,-0.930346243460765,0.152332441256629,-0.399842630180298,0.0997430068001878,0.999850009374687,0.0999850009374687,-0.920604569741643,0.160763858688242,-0.399950564237423,0.0995823584335228,0.999825013124453,0.0999825013124453,0,0.9796955227321,0.78125,0.00325667722099752,0.0722797477392289,-0.0173407398858122,0.460597333758204,0.00624454498360012,0.195274363642933,0.268702972277197,0.351439386121001
392,382,0.134839819984362,0.112428976293551,0.0999121689448035,0.100055296327586,0.0999825013124453,0.0999825013124453,0.152995643552448,0.115580830838284,0.0998766797942065,0.100082042279495,0.0999800017499125,0.0999800017499125,0,0.968891501803983,0.78375,0.00176959784487023,0.0721639269865882,-0.0149930651605358,0.46021944558364,0.00625282303905661,0.195274725827342,0.26869625470289,0.351430600136348
202,217,-0.988768395222861,0.215166431898213,-0.399640530083453,0.100293467521926,0.999800017499125,0.0999800017499125,-0.971675189583952,0.209106070204678,-0.399618569741723,0.100337715247882,0.999775022498688,0.0999775022498687,0,0.968769218034859,0.7875,0.000915893055913701,0.0725776377657311,-0.0148514882004823,0.460417002514626,0.00625468542853047,0.195270726267869,0.268689537296522,0.351421814371344
443,442,-1.00837706487766,0.247530491927152,-0.400328489387894,0.0998111443821389,0.999775022498688,0.0999775022498687,-1.01431114729912,0.248848343507637,-0.400367456701838,0.0998773978773316,0.999750028123125,0.0999750028123125,0,0.958415107877675,0.7925,-0.00346027401397784,0.0718977979638089,-0.0122971828850268,0.460376376143212,0.00625497494588631,0.19527262463732,0.26868282005809,0.351413028825985
